to_day,meter_number,street,side,district,manufacturer,model,rate,from_day,block_limits,from_time,to_time,limit_hr,limit_min,timer,status,installed,maintenance_route
SAT,8014167,N 20,E,80,D-E,80,$2.00,MON,301,0800A,0800P,3,,3HR,"R		",07/01/1985,1-NWQ
FRI,914116,N 22,E,9,D-E,80,$2.00,MON,201,0800A,0400P,2,,2HR,"I		",02/26/1987,1-NWQ
SAT,3827180,S 20,W,38,D-E,80,$2.50,MON,400,0800A,0630P,2,,2HR,"I		",01/31/1965,2-SWQ
SAT,4415470,N 36,E,44,D-E,80,$1.00,MON,1,0800A,0630P,3,,3HR,"R		",08/01/1982,3-UCY
SAT,4616020,S 40,E,46,D-E,80,$1.50,SUN,101,0800A,0800P,2,,2HR,"R		",08/01/1981,3-UCY
SAT,4816186,S 38,E,48,D-E,80,$1.50,MON,201,0800A,0800P,3,,3HR,"R		",08/01/1982,3-UCY
SAT,102134,MEADOW,S,1,D-E,80,$1.00,MON,1600,0800A,0600P,2,,2HR-MC,"I		",01/01/1961,4
SAT,1605067,OLNEY AVE,N,16,D-E,80,$1.00,MON,501,0800A,0600P,2,,2HR-MC,"I		",01/01/1960,4
SAT,2206003,STENTON AVE,W,22,D-E,80,$1.00,MON,6300,0800A,0600P,2,,2HR-MC,"I		",01/01/1960,5-GTN
SAT,2307157,W ARMAT,N,23,D-E,80,$1.00,MON,1,0800A,0600P,2,,2HR-MC,"I		",03/10/1988,5-GTN
SAT,7526002,SUSQUEHANNA,S,75,D-E,80,$0.50,MON,1400,0800A,0600P,2,,2HR-MC,"R		",01/01/1981,5-NPH
SAT,7828407,N 5,E,78,D-E,80,$0.50,SUN,501,0700A,1159P,12,,4HR,"R		",01/01/1976,1-NEQ
SAT,5328090,N 16,E,53,D-E,80,$1.00,MON,101,0800A,0800P,2,,2HR,"R		",01/31/1982,1-NWQ
SAT,4330060,S 3,E,43,D,80,$2.50,MON,501,0800A,0600P,2,,2HR,"I		",01/31/1975,2-SEQ
SAT,6622022,S 2,W,66,D,80,$2.00,MON,600,0900A,0900P,2,,2HR,"R		",01/31/1968,2-SEQ
FRI,9124023,S 15,W,91,D-E-HP,80,$2.00,MON,100,0930A,0400P,1,,2HR,"R		",01/31/1975,2-SWQ
SAT,9124135,S 20,W,91,D-E,80,$1.50,MON,200,0800A,0630P,2,,2HR,"R		",01/31/1975,2-SWQ
SAT,7121146,S BROAD,W,71,D-E,80,$1.00,MON,1900,0800A,0800P,2,,2HR-MC,"I		",01/01/1960,6-SPH
SAT,CAL01,CALLOWHILL,N,80,METRIC,P&D,$8.00,SUN,LOT,0600A,1159P,24,,24HR,"I		",12/17/2014,1-NEQ
SAT,SM27004,JFK BLVD,S,34,POM,PBS,$0.75,MON,1700,0800A,1000P,12,,12HR,"R		",07/01/2009,1-NEQ
SAT,SM27031,N 11,E,40F,POM,PBS,$0.75,SUN,101,0800A,1000A,12,,24HR,"R		",10/29/2010,1-NEQ
SAT,SM27032,N 11,E,40F,POM,PBS,$0.75,SUN,101,0800A,1000A,12,,24HR,"R		",10/29/2010,1-NEQ
SAT,SM27040,N 11,E,40,POM,PBS,$0.75,SUN,1,0800A,1000A,12,,24HR,"R		",03/08/2011,1-NEQ
SAT,SM27041,ARCH,N,41C,POM,PBS,$0.75,SUN,1301,0800A,1000P,12,,24HR,"R		",03/01/2011,1-NEQ
SAT,SM27042,ARCH,N,41C,POM,PBS,$0.75,SUN,1301,0800A,1000P,12,,24HR,"I		",03/01/2011,1-NEQ
SAT,SM27043,ARCH,N,41C,POM,PBS,$0.75,SUN,1301,0800A,1000P,12,,24HR,"R		",03/01/2011,1-NEQ
SAT,12F002,N 13,W,12F,METRIC,P&D,$2.50,SUN,200,0800A,0400P,2,,24HR,"I		",12/14/2009,1-NEQ
SAT,12F002,N 13,W,12F,METRIC,P&D,$2.50,SUN,200,0400P,1000P,3,,24HR,"I		",12/14/2009,1-NEQ
SAT,12F003,N 13,W,12F,METRIC,P&D,$2.50,SUN,200,0800A,0400P,2,,24HR,"I		",12/14/2009,1-NEQ
SAT,12F003,N 13,W,12F,METRIC,P&D,$2.50,SUN,200,0400P,1000P,3,,24HR,"I		",12/14/2009,1-NEQ
SAT,12F006,N 12,W,12F,METRIC,P&D,$2.50,SUN,200,0800A,0400P,1,,24HR,"I		",12/14/2009,1-NEQ
SAT,12F006,N 12,W,12F,METRIC,P&D,$2.50,SUN,200,0400P,1000P,3,,24HR,"I		",12/14/2009,1-NEQ
SAT,12F007,N 12,W,12F,METRIC,P&D,$2.50,SUN,200,0800A,0400P,1,,24HR,"I		",12/14/2009,1-NEQ
SAT,12F007,N 12,W,12F,METRIC,P&D,$2.50,SUN,200,0400P,1000P,3,,24HR,"I		",12/14/2009,1-NEQ
SAT,12F008,RACE,S,41C,METRIC,P&D,$2.50,SUN,1200,0800A,0400P,2,,24HR,"I		",03/01/2011,1-NEQ
SAT,12F008,RACE,S,41C,METRIC,P&D,$2.50,SUN,1200,0400P,1000P,3,,24HR,"I		",03/01/2011,1-NEQ
SAT,12F010,RACE,S,12F,METRIC,P&D,$2.50,SUN,1100,0800A,0400P,2,,24HR,"I		",12/16/2009,1-NEQ
SAT,12F010,RACE,S,12F,METRIC,P&D,$2.50,SUN,1100,0400P,1000P,3,,24HR,"I		",12/16/2009,1-NEQ
SAT,12F011,RACE,S,12F,METRIC,P&D,$2.50,SUN,1100,0800A,0400P,2,,24HR,"I		",11/29/2009,1-NEQ
SAT,12F011,RACE,S,12F,METRIC,P&D,$2.50,SUN,1100,0400P,1000P,3,,24HR,"I		",11/29/2009,1-NEQ
SAT,12F012,N 11,E,12F,METRIC,P&D,$2.50,MON,201,0800A,0400P,2,,24HR,"I		",12/14/2009,1-NEQ
SAT,12F012,N 11,E,12F,METRIC,P&D,$2.50,MON,201,0400P,1000P,3,,24HR,"I		",12/14/2009,1-NEQ
SAT,12F014,RACE,S,12F,METRIC,P&D,$2.50,SUN,1000,0800A,0400P,2,,24HR,"I		",12/14/2009,1-NEQ
SAT,12F014,RACE,S,12F,METRIC,P&D,$2.50,SUN,1000,0400P,1000P,3,,24HR,"I		",12/14/2009,1-NEQ
SAT,12F015,RACE,S,12F,METRIC,P&D,$2.50,SUN,1000,0800A,0400P,2,,24HR,"I		",12/14/2009,1-NEQ
SAT,12F015,RACE,S,12F,METRIC,P&D,$2.50,SUN,1000,0400P,1000P,3,,24HR,"I		",12/14/2009,1-NEQ
SAT,12F016,N 10,W,12F,METRIC,P&D,$2.50,SUN,200,0800A,0400P,2,,24HR,"I		",12/14/2009,1-NEQ
SAT,12F016,N 10,W,12F,METRIC,P&D,$2.50,SUN,200,0400P,1000P,3,,24HR,"I		",12/14/2009,1-NEQ
SAT,12F017,N 10,W,12F,METRIC,P&D,$2.50,SUN,200,0800A,0400P,2,,24HR,"I		",12/14/2009,1-NEQ
SAT,12F017,N 10,W,12F,METRIC,P&D,$2.50,SUN,200,0400P,1000P,3,,24HR,"I		",12/14/2009,1-NEQ
SAT,12F018,RACE,S,12F,METRIC,P&D,$2.50,SUN,900,0800A,0400P,2,,24HR,"I		",12/14/2009,1-NEQ
SAT,12F018,RACE,S,12F,METRIC,P&D,$2.50,SUN,900,0400P,1000P,3,,24HR,"I		",12/14/2009,1-NEQ
SAT,12F020,N 9,W,12F,METRIC,P&D,$2.50,SUN,200,0800A,0400P,2,,24HR,"I		",12/14/2009,1-NEQ
SAT,12F020,N 9,W,12F,METRIC,P&D,$2.50,SUN,200,0400P,1000P,3,,24HR,"I		",12/14/2009,1-NEQ
SAT,12F021,N 9,W,12F,METRIC,P&D,$2.50,SUN,200,0800A,0400P,2,,24HR,"I		",12/14/2009,1-NEQ
SAT,12F021,N 9,W,12F,METRIC,P&D,$2.50,SUN,200,0400P,1000P,3,,24HR,"I		",12/14/2009,1-NEQ
SAT,12F022,N 9,E,12F,METRIC,P&D,$2.50,SUN,201,0800A,0400P,2,,24HR,"I		",12/16/2009,1-NEQ
SAT,12F022,N 9,E,12F,METRIC,P&D,$2.50,SUN,201,0400P,1000P,3,,24HR,"I		",12/16/2009,1-NEQ
SAT,12F023,N 9,E,12F,METRIC,P&D,$2.50,SUN,201,0800A,0400P,2,,24HR,"I		",12/16/2009,1-NEQ
SAT,12F023,N 9,E,12F,METRIC,P&D,$2.50,SUN,201,0400P,1000P,3,,24HR,"I		",12/16/2009,1-NEQ
SAT,12F024,RACE,S,12F,METRIC,P&D,$2.00,SUN,800,0800A,0400P,2,,24HR,"R		",12/17/2009,1-NEQ
SAT,12F024,RACE,S,12F,METRIC,P&D,$2.00,SUN,800,0400P,1000P,3,,24HR,"R		",12/17/2009,1-NEQ
SAT,12F025,RACE,S,12F,METRIC,P&D,$2.50,SUN,800,0800A,0400P,2,,24HR,"I		",12/17/2009,1-NEQ
SAT,12F025,RACE,S,12F,METRIC,P&D,$2.50,SUN,800,0400P,1000P,3,,24HR,"I		",12/17/2009,1-NEQ
SAT,12F028,RACE,N,12F,METRIC,P&D,$1.50,SUN,501,0700A,0700P,12,,24HR,"I		",12/17/2009,1-NEQ
SAT,12F029,N 5,E,12F,METRIC,P&D,$1.50,SUN,101,0800A,0800P,4,,24HR,"I		",12/17/2009,1-NEQ
SAT,12F030,N 4,W,12F,METRIC,P&D,$2.50,MON,200,0800A,0630P,2,,24HR,"I		",12/18/2009,1-NEQ
SAT,12F031,RACE,S,12F,METRIC,P&D,$2.50,MON,300,0800A,0630P,3,,24HR,"I		",12/17/2009,1-NEQ
SAT,12F032,RACE,S,12F,METRIC,P&D,$2.50,MON,300,0800A,0630P,3,,24HR,"I		",12/17/2009,1-NEQ
FRI,12F033,N 3,W,12F,METRIC,P&D,$2.50,MON,200,0930A,0400P,2,,24HR,"I		",12/29/2009,1-NEQ
SAT,12F033,N 3,W,12F,METRIC,P&D,$2.50,SAT,200,0800A,0630P,1,,24HR,"I		",12/29/2009,1-NEQ
FRI,12F034,N 3,W,12F,METRIC,P&D,$2.50,MON,200,0930A,0400P,2,,24HR,"I		",12/29/2009,1-NEQ
SAT,12F034,N 3,W,12F,METRIC,P&D,$2.50,SAT,200,0800A,0630P,1,,24HR,"I		",12/29/2009,1-NEQ
SAT,12F035,N 3,E,12F,METRIC,P&D,$2.50,MON,201,0800A,0630P,2,,24HR,"I		",12/29/2009,1-NEQ
SAT,12F036,N 3,E,12F,METRIC,P&D,$2.50,MON,201,0800A,0630P,2,,24HR,"I		",12/29/2009,1-NEQ
SAT,12F037,RACE,S,12F,METRIC,P&D,$2.50,MON,200,0800A,0630P,3,,24HR,"I		",12/29/2009,1-NEQ
SAT,12F038,RACE,S,12F,METRIC,P&D,$2.50,MON,200,0800A,0630P,3,,24HR,"I		",12/29/2009,1-NEQ
SAT,12F039,RACE,S,12F,METRIC,P&D,$2.50,MON,200,0800A,0630P,3,,24HR,"I		",12/29/2009,1-NEQ
SAT,12F040,RACE,N,12F,METRIC,P&D,$2.50,MON,401,0800A,0800P,3,,24HR,"I		",11/19/2010,1-NEQ
SAT,12F042,RACE,S,41C,METRIC,P&D,$2.50,SUN,1300,0800A,0400P,2,,24HR,"I		",03/01/2011,1-NEQ
SAT,12F042,RACE,S,41C,METRIC,P&D,$2.50,SUN,1300,0400P,1000P,3,,24HR,"I		",03/01/2011,1-NEQ
SAT,12F043,RACE,S,41C,METRIC,P&D,$2.50,SUN,1300,0800A,0400P,2,,24HR,"I		",03/01/2011,1-NEQ
SAT,12F043,RACE,S,41C,METRIC,P&D,$2.50,SUN,1300,0400P,1000P,3,,24HR,"I		",03/01/2011,1-NEQ
SAT,12F044,RACE,S,41C,METRIC,P&D,$2.50,SUN,1300,0800A,0400P,2,,24HR,"I		",03/01/2011,1-NEQ
SAT,12F044,RACE,S,41C,METRIC,P&D,$2.50,SUN,1300,0400P,1000P,3,,24HR,"I		",03/01/2011,1-NEQ
SAT,1229001,N 13,W,12,D-E,80,$2.50,MON,200,0800A,0800P,1,,1HR,"I		",01/01/1982,1-NEQ
SAT,1229002,N 13,W,12,D-E,80,$2.00,MON,200,0800A,0800P,1,,1HR,"R		",01/01/1982,1-NEQ
SAT,1229003,N 13,W,12,D-E,80,$2.00,MON,200,0800A,0800P,1,,1HR,"R		",01/01/1982,1-NEQ
SAT,1229004,N 13,W,12,D-E,80,$2.00,MON,200,0800A,0800P,1,,1HR,"R		",01/01/1982,1-NEQ
SAT,1229005,N 13,W,12,D-E,80,$2.00,MON,200,0800A,0800P,1,,1HR,"R		",01/01/1982,1-NEQ
SAT,1229006,N 13,W,12,D-E,80,$2.00,MON,200,0800A,0800P,1,,1HR,"R		",01/01/1982,1-NEQ
SAT,1229007,N 13,W,12,D-E,80,$2.00,MON,200,0800A,0800P,1,,1HR,"R		",01/01/1982,1-NEQ
SAT,1229008,N 13,W,12,D-E,80,$2.00,MON,200,0800A,0800P,1,,1HR,"R		",01/01/1982,1-NEQ
SAT,1229009,N 13,W,12,D-E,80,$2.00,MON,200,0800A,0800P,1,,1HR,"R		",01/01/1982,1-NEQ
SAT,1229015,SUMMER,N,12,D-E,80,$2.50,MON,1201,0800A,0800P,1,,1HR,"I		",01/01/1982,1-NEQ
SAT,1229016,SUMMER,N,12,D-E,80,$2.50,MON,1201,0800A,0800P,1,,2HR,"I		",01/01/1982,1-NEQ
SAT,1229017,SUMMER,N,12,D-E,80,$2.50,MON,1201,0800A,0800P,1,,2HR,"I		",01/01/1982,1-NEQ
SAT,1229018,SUMMER,N,12,D-E,80,$2.50,MON,1201,0800A,0800P,1,,2HR,"I		",01/01/1982,1-NEQ
SAT,1229019,SUMMER,N,12,D-E,80,$2.50,MON,1201,0800A,0800P,1,,2HR,"I		",01/01/1982,1-NEQ
SAT,1229020,SUMMER,N,12,D-E,80,$2.50,MON,1201,0800A,0800P,1,,2HR,"I		",01/01/1982,1-NEQ
SAT,1229021,SUMMER,N,12,D-E,80,$2.50,MON,1201,0800A,0800P,1,,2HR,"I		",01/01/1982,1-NEQ
SAT,1229022,SUMMER,N,12,D-E,80,$2.50,MON,1201,0800A,0800P,1,,2HR,"I		",01/01/1982,1-NEQ
SAT,1229023,SUMMER,N,12,D-E,80,$2.50,MON,1201,0800A,0800P,1,,2HR,"I		",01/01/1982,1-NEQ
SAT,1229024,SUMMER,N,12,D-E,80,$2.50,MON,1201,0800A,0800P,1,,2HR,"I		",01/01/1982,1-NEQ
SAT,1229027,SUMMER,N,12,D-E,80,$2.50,MON,1201,0800A,0800P,1,,2HR,"I		",01/01/1982,1-NEQ
SAT,1229028,SUMMER,N,12,D-E,80,$2.50,MON,1201,0800A,0800P,1,,1HR,"I		",01/01/1982,1-NEQ
SAT,1229029,SUMMER,N,12,D-E,80,$2.50,MON,1201,0800A,0800P,1,,2HR,"I		",01/01/1982,1-NEQ
SAT,1229030,SUMMER,N,12,D-E,80,$2.50,MON,1201,0800A,0800P,1,,2HR,"I		",01/01/1982,1-NEQ
SAT,1229031,SUMMER,N,12,D-E,80,$2.50,MON,1201,0800A,0800P,1,,2HR,"I		",01/01/1982,1-NEQ
SAT,1229032,SUMMER,N,12,D-E,80,$2.50,MON,1201,0800A,0800P,1,,2HR,"I		",01/01/1982,1-NEQ
SAT,1229035,N 12,W,12,D-E,80,$2.00,MON,200,0800A,0800P,1,,1HR,"R		",01/01/1982,1-NEQ
SAT,1229036,N 12,W,12,D-E,80,$2.00,MON,200,0800A,0800P,1,,1HR,"R		",01/01/1982,1-NEQ
SAT,1229037,N 12,W,12,D-E,80,$2.00,MON,200,0800A,0800P,1,,1HR,"R		",01/01/1982,1-NEQ
SAT,1229038,N 12,W,12,D-E,80,$2.00,MON,200,0800A,0800P,1,,1HR,"R		",01/01/1982,1-NEQ
SAT,1229039,N 12,W,12,D-E,80,$2.00,MON,200,0800A,0800P,1,,1HR,"R		",01/01/1982,1-NEQ
SAT,1229040,N 12,W,12,D-E,80,$2.00,MON,200,0800A,0800P,1,,1HR,"R		",01/01/1982,1-NEQ
SAT,1229043,N 12,W,12,D-E,80,$2.00,MON,200,0800A,0800P,1,,1HR,"R		",01/01/1982,1-NEQ
SAT,1229044,N 12,W,12,D-E,80,$2.00,MON,200,0800A,0800P,1,,1HR,"R		",01/01/1982,1-NEQ
SAT,1229045,N 12,W,12,D-E,80,$2.00,MON,200,0800A,0800P,1,,1HR,"R		",01/01/1982,1-NEQ
SAT,1229046,N 12,W,12,D-E,80,$2.00,MON,200,0800A,0800P,1,,1HR,"R		",01/01/1982,1-NEQ
SAT,1229047,N 12,W,12,D-E,80,$2.00,MON,200,0800A,0800P,1,,1HR,"R		",01/01/1982,1-NEQ
SAT,1229050,N 11,E,12,D-E,80,$2.00,MON,201,0800A,0800P,2,,2HR,"R		",01/01/1982,1-NEQ
SAT,1229051,N 11,E,12,D-E,80,$2.00,MON,201,0800A,0800P,2,,2HR,"R		",01/01/1982,1-NEQ
SAT,1229052,N 11,E,12,D-E,80,$2.00,MON,201,0800A,0800P,2,,2HR,"R		",01/01/1982,1-NEQ
SAT,1229053,N 11,E,12,D-E,80,$2.00,MON,201,0800A,0800P,2,,2HR,"R		",01/01/1982,1-NEQ
SAT,1229054,N 11,E,12,D-E,80,$2.00,MON,201,0800A,0800P,2,,2HR,"R		",01/01/1982,1-NEQ
SAT,1229055,N 11,E,12,D-E,80,$2.00,MON,201,0800A,0800P,2,,2HR,"R		",01/01/1982,1-NEQ
SAT,1229056,N 11,E,12,D-E,80,$2.00,MON,201,0800A,0800P,2,,2HR,"R		",01/01/1982,1-NEQ
SAT,1229057,N 11,E,12,D-E,80,$2.00,MON,201,0800A,0800P,2,,2HR,"R		",01/01/1982,1-NEQ
SAT,1229058,N 11,E,12,D-E-HP,80,$2.50,MON,201,0800A,0800P,2,,2HR,"I		",01/01/1982,1-NEQ
SAT,1229059,N 11,E,12,D-E,80,$2.00,MON,201,0800A,0800P,2,,2HR,"R		",01/01/1982,1-NEQ
SAT,1229060,N 11,E,12,D-E,80,$2.00,MON,201,0800A,0800P,2,,2HR,"R		",01/01/1982,1-NEQ
SAT,1229065,N 10,W,12,D-E,80,$2.00,MON,200,0800A,0800P,2,,2HR,"R		",01/01/1982,1-NEQ
SAT,1229066,N 10,W,12,D-E,80,$2.00,MON,200,0800A,0800P,2,,2HR,"R		",01/01/1982,1-NEQ
SAT,1229067,N 10,W,12,D,80,$2.00,MON,200,0800A,0800P,2,,2HR,"R		",01/01/1982,1-NEQ
SAT,1229068,N 10,W,12,D,80,$2.00,MON,200,0800A,0800P,2,,2HR,"R		",01/01/1982,1-NEQ
SAT,1229069,N 10,W,12,D-E,80,$2.00,MON,200,0800A,0800P,2,,2HR,"R		",01/01/1982,1-NEQ
SAT,1229070,N 10,W,12,D-E,80,$2.00,MON,200,0800A,0800P,2,,2HR,"R		",01/01/1982,1-NEQ
SAT,1229071,N 10,W,12,D-E,80,$2.00,MON,200,0800A,0800P,2,,2HR,"R		",01/01/1982,1-NEQ
SAT,1229072,N 10,W,12,D-E,80,$2.00,MON,200,0800A,0800P,2,,2HR,"R		",01/01/1982,1-NEQ
SAT,1229073,N 10,W,12,D-E,80,$2.00,MON,200,0800A,0800P,2,,2HR,"R		",01/01/1982,1-NEQ
SAT,1229074,N 10,W,12,D-E,80,$2.00,MON,200,0800A,0800P,2,,2HR,"R		",01/01/1982,1-NEQ
SAT,1229075,N 10,W,12,D-E,80,$2.00,MON,200,0800A,0800P,2,,2HR,"R		",01/01/1982,1-NEQ
SAT,1229076,N 10,W,12,D-E,80,$2.00,MON,200,0800A,0800P,2,,2HR,"R		",01/01/1982,1-NEQ
SAT,1229079,N 9,W,12,D-E,80,$2.00,MON,200,0800A,0800P,2,,2HR,"R		",01/01/1982,1-NEQ
SAT,1229080,N 9,W,12,D-E,80,$2.00,MON,200,0800A,0800P,2,,2HR,"R		",01/01/1982,1-NEQ
SAT,1229081,N 9,W,12,D-E,80,$2.00,MON,200,0800A,0800P,2,,2HR,"R		",01/01/1982,1-NEQ
SAT,1229082,N 9,W,12,D-E,80,$2.00,MON,200,0800A,0800P,2,,2HR,"R		",01/01/1982,1-NEQ
SAT,1229083,N 9,W,12,D-E,80,$2.00,MON,200,0800A,0800P,2,,2HR,"R		",01/01/1982,1-NEQ
SAT,1229084,N 9,W,12,D-E,80,$2.00,MON,200,0800A,0800P,2,,2HR,"R		",01/01/1982,1-NEQ
SAT,1229085,N 9,W,12,D-E,80,$2.50,MON,200,0800A,0800P,2,,2HR,"I		",01/01/1982,1-NEQ
SAT,1229087,N 9,W,12,D-E,80,$2.00,MON,200,0800A,0800P,2,,2HR,"R		",01/01/1982,1-NEQ
SAT,1229088,N 9,W,12,D-E,80,$2.00,MON,200,0800A,0800P,2,,2HR,"R		",01/01/1982,1-NEQ
SAT,1229089,N 9,W,12,D-E,80,$2.00,MON,200,0800A,0800P,2,,2HR,"R		",01/01/1982,1-NEQ
SAT,1229096,N 9,E,12,D-E-HP,80,$2.50,MON,201,0800A,0800P,2,,2HR,"I		",01/01/1982,1-NEQ
SAT,1229097,N 9,E,12,D-E,80,$2.00,MON,201,0800A,0800P,2,,2HR,"R		",01/01/1982,1-NEQ
SAT,1229098,N 9,E,12,D-E,80,$2.00,MON,201,0800A,0800P,2,,2HR,"R		",01/01/1982,1-NEQ
SAT,1229099,N 9,E,12,D-E,80,$2.00,MON,201,0800A,0800P,2,,2HR,"R		",01/01/1982,1-NEQ
SAT,1229100,N 9,E,12,D-E,80,$2.00,MON,201,0800A,0800P,2,,2HR,"R		",01/01/1982,1-NEQ
SAT,1229101,N 9,E,12,D-E,80,$2.00,MON,201,0800A,0800P,2,,2HR,"R		",01/01/1982,1-NEQ
SAT,1229102,N 9,E,12,D-E,80,$2.00,MON,201,0800A,0800P,2,,2HR,"R		",01/01/1982,1-NEQ
SAT,1229103,N 9,E,12,D-E,80,$2.00,MON,201,0800A,0800P,2,,2HR,"R		",01/01/1982,1-NEQ
SAT,1229104,N 9,E,12,D-E,80,$2.00,MON,201,0800A,0800P,2,,2HR,"R		",01/01/1982,1-NEQ
SAT,1229105,N 9,E,12,D-E,80,$2.00,MON,201,0800A,0800P,2,,2HR,"R		",01/01/1982,1-NEQ
SAT,1229106,N 9,E,12,D-E,80,$2.00,MON,201,0800A,0800P,2,,2HR,"R		",01/01/1982,1-NEQ
SAT,1229107,N 9,E,12,D-E,80,$2.00,MON,201,0800A,0800P,2,,2HR,"R		",01/01/1982,1-NEQ
SAT,1229108,N 9,E,12,D-E,80,$2.00,MON,201,0800A,0800P,2,,2HR,"R		",01/01/1982,1-NEQ
SAT,1229109,N 9,E,12,D-E,80,$2.00,MON,201,0800A,0800P,2,,2HR,"R		",01/01/1982,1-NEQ
SAT,1229110,N 9,E,12,D-E,80,$2.00,MON,201,0800A,0800P,2,,2HR,"R		",01/01/1982,1-NEQ
SAT,1229111,N 9,E,12,D-E,80,$2.00,MON,201,0800A,0800P,2,,2HR,"R		",01/01/1982,1-NEQ
SAT,1229114,RACE,N,12,D-E,80,$1.50,SUN,501,0700A,0700P,12,,12HR,"I		",01/01/1982,1-NEQ
SAT,1229115,RACE,N,12,D-E,80,$1.00,SUN,501,0700A,0700P,12,,12HR,"R		",01/01/1982,1-NEQ
SAT,1229116,RACE,N,12,D-E,80,$1.00,SUN,501,0700A,0700P,12,,12HR,"R		",01/01/1982,1-NEQ
SAT,1229117,RACE,N,12,D-E,80,$1.00,SUN,501,0700A,0700P,12,,12HR,"R		",01/01/1982,1-NEQ
SAT,1229118,RACE,N,12,D-E,80,$1.00,SUN,501,0700A,0700P,12,,12HR,"R		",01/01/1982,1-NEQ
SAT,1229119,RACE,N,12,D-E,80,$1.00,SUN,501,0700A,0700P,12,,12HR,"R		",01/01/1982,1-NEQ
SAT,1229120,RACE,N,12,D-E,80,$1.00,SUN,501,0700A,0700P,12,,12HR,"R		",01/01/1982,1-NEQ
SAT,1229121,RACE,N,12,D-E,80,$0.50,SUN,501,0700A,0700P,12,,12HR,"R		",01/01/1982,1-NEQ
SAT,1229124,N 4,W,12,D-E,80,$0.50,MON,200,0800A,0630P,2,,2HR,"R		",01/01/1982,1-NEQ
SAT,1229125,N 4,W,12,D-E,80,$0.50,MON,200,0800A,0630P,2,,2HR,"R		",01/01/1982,1-NEQ
SAT,1229126,N 4,W,12,D-E,80,$2.50,MON,200,0800A,0630P,2,,2HR,"I		",01/01/1982,1-NEQ
FRI,1229129,N 3,W,12,D-E-HP,80,$2.50,MON,200,0930A,0400P,2,,2HR,"I		",01/01/1982,1-NEQ
SAT,1229129,N 3,W,12,D-E-HP,80,$2.50,SAT,200,0800A,0630P,2,,2HR,"I		",01/01/1982,1-NEQ
FRI,1229130,N 3,W,12,D-E,80,$2.00,MON,200,0930A,0400P,2,,2HR,"R		",01/01/1982,1-NEQ
SAT,1229130,N 3,W,12,D-E,80,$2.00,SAT,200,0800A,0630P,2,,2HR,"R		",01/01/1982,1-NEQ
FRI,1229131,N 3,W,12,D-E,80,$2.00,MON,200,0930A,0400P,2,,2HR,"R		",01/01/1982,1-NEQ
SAT,1229131,N 3,W,12,D-E,80,$2.00,SAT,200,0800A,0630P,2,,2HR,"R		",01/01/1982,1-NEQ
FRI,1229132,N 3,W,12,D-E,80,$2.00,MON,200,0930A,0400P,2,,2HR,"R		",01/01/1982,1-NEQ
SAT,1229132,N 3,W,12,D-E,80,$2.00,SAT,200,0800A,0630P,2,,2HR,"R		",01/01/1982,1-NEQ
FRI,1229133,N 3,W,12,D-E,80,$2.00,MON,200,0930A,0400P,2,,2HR,"R		",01/01/1982,1-NEQ
SAT,1229133,N 3,W,12,D-E,80,$2.00,SAT,200,0800A,0630P,2,,2HR,"R		",01/01/1982,1-NEQ
FRI,1229134,N 3,W,12,D-E,80,$2.00,MON,200,0930A,0400P,2,,2HR,"R		",01/01/1982,1-NEQ
SAT,1229134,N 3,W,12,D-E,80,$2.00,SAT,200,0800A,0630P,2,,2HR,"R		",01/01/1982,1-NEQ
FRI,1229135,N 3,W,12,D-E,80,$2.00,MON,200,0930A,0400P,2,,2HR,"R		",01/01/1982,1-NEQ
SAT,1229135,N 3,W,12,D-E,80,$2.00,SAT,200,0800A,0630P,2,,2HR,"R		",01/01/1982,1-NEQ
FRI,1229136,N 3,W,12,D-E,80,$2.00,MON,200,0930A,0400P,2,,2HR,"R		",01/01/1982,1-NEQ
SAT,1229136,N 3,W,12,D-E,80,$2.00,SAT,200,0800A,0630P,2,,2HR,"R		",01/01/1982,1-NEQ
FRI,1229137,N 3,W,12,D-E,80,$2.00,MON,200,0930A,0400P,2,,2HR,"R		",01/01/1982,1-NEQ
SAT,1229137,N 3,W,12,D-E,80,$2.00,SAT,200,0800A,0630P,2,,2HR,"R		",01/01/1982,1-NEQ
FRI,1229138,N 3,W,12,D-E,80,$2.00,MON,200,0930A,0400P,2,,2HR,"R		",01/01/1982,1-NEQ
SAT,1229138,N 3,W,12,D-E,80,$2.00,SAT,200,0800A,0630P,2,,2HR,"R		",01/01/1982,1-NEQ
FRI,1229139,N 3,W,12,D-E,80,$2.00,MON,200,0930A,0400P,2,,2HR,"R		",01/01/1982,1-NEQ
SAT,1229139,N 3,W,12,D-E,80,$2.00,SAT,200,0800A,0630P,2,,2HR,"R		",01/01/1982,1-NEQ
FRI,1229142,N 3,W,12,D,80,$2.00,MON,200,0930A,0400P,2,,2HR,"R		",07/19/1989,1-NEQ
SAT,1229142,N 3,W,12,D,80,$2.00,SAT,200,0800A,0630P,2,,2HR,"R		",07/19/1989,1-NEQ
FRI,1229148,N 3,W,12,D,80,$2.00,MON,200,0930A,0400P,2,,2HR,"R		",07/19/1989,1-NEQ
SAT,1229148,N 3,W,12,D,80,$2.00,SAT,200,0800A,0630P,2,,2HR,"R		",07/19/1989,1-NEQ
