the_geom,lng,street,city,state,latitude,the_geom_webmercator,district_number,block,side,lat,longitude
0101000020E6100000FC9E399A0CCF52C0385CAE6297F94340,-75.235144192,CATHARINE ST,Philadelphia, PA,39.9499324180001,0101000020110F000009D13C7CD8F25FC11EE9A550CB885241,1,2100,B/S,39.9499324180001,-75.235144192
0101000020E6100000CCC7434C3AC952C060C6794474F84340,-75.144183222,N 21ST ST,Philadelphia, PA,39.941048202,0101000020110F00004F22970DF5E85FC1162598D088875241,6,600,B/S,39.941048202,-75.144183222
0101000020E610000070B525DD1CCC52C0D824605D5DF74340,-75.18926171,TANEY ST,Philadelphia, PA,39.9325367660001,0101000020110F0000A250E894DBED5FC1CB55CCE253865241,1,500,B/S,39.9325367660001,-75.18926171
0101000020E610000054C68B27F0CA52C0D0EB2D8A03F64340,-75.1709078659999,S ROSEWOOD ST,Philadelphia, PA,39.921983025,0101000020110F0000EE3EE9CBDCEB5FC144E826E2D4845241,27,2300,E/S,39.921983025,-75.1709078659999
0101000020E61000009496D39621CB52C0E87BF490ADF84340,-75.17392512,FITZWATER ST,Philadelphia, PA,39.9427968210001,0101000020110F00006BB62DC430EC5FC1FF277949C8875241,1,1900,B/S,39.9427968210001,-75.17392512
0101000020E6100000B83E4B0E3AC952C0C858913174F84340,-75.144168447,N 03RD ST,Philadelphia, PA,39.9410459480001,0101000020110F0000C79F53A4F4E85FC19345A6BB88875241,10,700,B/S,39.9410459480001,-75.144168447
0101000020E6100000F09267AD54C952C0F0ED5DF01AFA4340,-75.145793296,N ORIANNA ST,Philadelphia, PA,39.953947111,0101000020110F000027587ADC21E95FC18A7845105D895241,10,1100,E/S,39.953947111,-75.145793296
0101000020E6100000C0EE2C5B3AC952C0689A817B72F84340,-75.144186777,S 10TH ST,Philadelphia, PA,39.940993727,0101000020110F00007BF3EA26F5E85FC141AA65D686875241,24,2000,B/S,39.940993727,-75.144186777
0101000020E6100000F8EB5933D9CA52C07815C641C2F54340,-75.1695068719999,S JUNIPER ST,Philadelphia, PA,39.9199907510001,0101000020110F0000E1609ACEB5EB5FC1E30DCB968C845241,22,799,E/S,39.9199907510001,-75.1695068719999
0101000020E61000006C6376C0BCCE52C0B0F135781DFA4340,-75.2302704959999,PINE ST,Philadelphia, PA,39.95402434,0101000020110F00006BC2D8D950F25FC1BD8C0ADE5F895241,1,1400,N/S,39.95402434,-75.2302704959999
0101000020E6100000A491C603F2CD52C0180E8E4351FB4340,-75.2178964079999,WALLACE ST,Philadelphia, PA,39.9634174770001,0101000020110F00009AB84E7BF8F05FC1D43454E8B48A5241,10,1100,B/S,39.9634174770001,-75.2178964079999
0101000020E6100000A807625FA6CA52C0181B9D3A29F54340,-75.166404577,MOLLBORE TERR,Philadelphia, PA,39.915320708,0101000020110F0000712877785FEB5FC1984B3C22E3835241,29,700,B/S,39.915320708,-75.166404577
0101000020E610000054F7EBF59EC952C0806D5362F5004440,-75.150327187,VENANGO ST,Philadelphia, PA,40.0074885280001,0101000020110F0000B826F209A0E95FC1EE734EA3F5905241,16,1500,B/S,40.0074885280001,-75.150327187
0101000020E6100000D824798DA1CD52C0A004ECC622FA4340,-75.21298539,S MELVILLE,Philadelphia, PA,39.9541863110001,0101000020110F0000A09D04CF6FF05FC127E168BF65895241,2,200,E/S,39.9541863110001,-75.21298539
0101000020E6100000E4C5A70551CC52C088676F8128024440,-75.1924451959999,WARDEN DR,Philadelphia, PA,40.0168611330001,0101000020110F0000156F7C2D34EE5FC1B3B6F1324A925241,8,3400,B/S,40.0168611330001,-75.1924451959999
0101000020E6100000845D97BED0CE52C0C05284ABEEF94340,-75.2314907529999,LARCHWOOD ST,Philadelphia, PA,39.9525961300001,0101000020110F00000BE880CF72F25FC1B2D652042C895241,2,5800,B/S,39.9525961300001,-75.2314907529999
0101000020E6100000042836B4FBCD52C078D991529F034440,-75.21848779,DEXTER,Philadelphia, PA,40.0282996380001,0101000020110F0000A2D493F008F15FC1FF60BCE3E9935241,15,4300,E/S,40.0282996380001,-75.21848779
0101000020E610000008E58C473AC952C08872867572F84340,-75.144182098,N 04TH ST,Philadelphia, PA,39.9409930140001,0101000020110F0000F71D9505F5E85FC15590C5CF86875241,10,1100,B/S,39.9409930140001,-75.144182098
0101000020E610000008E58C473AC952C08872867572F84340,-75.144182098,S 04TH ST,Philadelphia, PA,39.9409930140001,0101000020110F0000F71D9505F5E85FC15590C5CF86875241,5,400,B/S,39.9409930140001,-75.144182098
0101000020E6100000D4DEDF54CFCB52C0103290D473F64340,-75.184529513,WINTON ST,Philadelphia, PA,39.925409861,0101000020110F0000BF6A9EE257ED5FC1B83C3A3D51855241,24,1000,N/S,39.925409861,-75.184529513
0101000020E6100000F88E58C081CD52C0506434FFE3044440,-75.2110443939999,HENRY AVE,Philadelphia, PA,40.0382079130001,0101000020110F0000917D7ECA39F05FC1EFDBA20652955241,8,3500,W/S,40.0382079130001,-75.2110443939999
0101000020E610000040388CA096CF52C0885184FF6DF94340,-75.243568551,CARPENTER ST,Philadelphia, PA,39.9486693760001,0101000020110F000017E623EFC2F35FC1AAA8AE769D885241,1,1800,B/S,39.9486693760001,-75.243568551
0101000020E6100000F45627DE36CB52C0909A24A0C6014440,-75.175223864,STOKELY ST,Philadelphia, PA,40.013874071,0101000020110F0000680B03E954EC5FC176A019A8DD915241,8,3800,B/S,40.013874071,-75.175223864
0101000020E61000009056D5FB08CC52C070E1EB6BDDFA4340,-75.188048323,WINTER ST,Philadelphia, PA,39.9598822500001,0101000020110F00007D1332D0B9ED5FC111F5158C348A5241,10,900,S/S,39.9598822500001,-75.188048323
0101000020E6100000389AB5D72CCA52C0108E319B33014440,-75.1589869759999,W PACIFIC ST,Philadelphia, PA,40.0093873970001,0101000020110F0000B33F280A91EA5FC13F1C8DA13A915241,16,1400,N/S,40.0093873970001,-75.1589869759999
0101000020E6100000549B839061CF52C0D0B0B7B879F94340,-75.240329865,CHRISTIAN ST,Philadelphia, PA,39.949027147,0101000020110F0000DFC94ACD68F35FC1A48D9273AA885241,1,2500,B/S,39.949027147,-75.240329865
0101000020E610000040831CADCDC752C068213C7215FD4340,-75.12192848,ALMOND,Philadelphia, PA,39.9772169870001,0101000020110F0000EEF1D9B489E65FC1D5B43D04AA8C5241,25,2200,B/S,39.9772169870001,-75.12192848
0101000020E6100000189A9B373AC952C0C0032D3E74F84340,-75.1441782969999,N 15TH ST,Philadelphia, PA,39.941047451,0101000020110F000073A180EAF4E85FC18EA59DC988875241,6,599,W/S,39.941047451,-75.1441782969999
0101000020E61000006C6376C0BCCE52C0B0F135781DFA4340,-75.2302704959999,PINE ST,Philadelphia, PA,39.95402434,0101000020110F00006BC2D8D950F25FC1BD8C0ADE5F895241,5,400,N/S,39.95402434,-75.2302704959999
0101000020E610000040388CA096CF52C0885184FF6DF94340,-75.243568551,CARPENTER ST,Philadelphia, PA,39.9486693760001,0101000020110F000017E623EFC2F35FC1AAA8AE769D885241,1,1900,S/S,39.9486693760001,-75.243568551
0101000020E6100000648D5D7C73C852C0401FDB8860FC4340,-75.1320486939999,E OXFORD ST,Philadelphia, PA,39.971696002,0101000020110F000093A5C859A3E75FC1A5D79684E18B5241,25,1400,S/S,39.971696002,-75.1320486939999
0101000020E610000064BC6DD913CB52C060E01A8E1DF94340,-75.1730865069999,WAVERLY ST,Philadelphia, PA,39.9462144500001,0101000020110F0000AB3B866D19EC5FC161C5AB5844885241,1,2300,N/S,39.9462144500001,-75.1730865069999
0101000020E6100000E075FACA4ECD52C008ABFAC748F94340,-75.2079341359999,REGENT SQ,Philadelphia, PA,39.947533605,0101000020110F00006AE29F3BE3EF5FC1EFD5AE3B74885241,2,4200,N/S,39.947533605,-75.2079341359999
0101000020E610000024C9737DFFCC52C0C05B9C7529FB4340,-75.203093875,GREEN ST,Philadelphia, PA,39.9622027410001,0101000020110F00009E8970875CEF5FC1CA700FCD888A5241,10,300,B/S,39.9622027410001,-75.203093875
0101000020E61000003494A2E1C9CB52C09051FBA033F74340,-75.184196862,MORRIS,Philadelphia, PA,39.931263087,0101000020110F0000FD0CAAA04EED5FC1D0F4FCA825865241,23,600,B/S,39.931263087,-75.184196862
0101000020E6100000B4653C2126C852C008F88D00C5FC4340,-75.12732726,BELGRADE ST,Philadelphia, PA,39.974762029,0101000020110F000035F02CF41FE75FC166B467DC508C5241,25,300,S/S,39.974762029,-75.12732726
0101000020E6100000D4DEDF54CFCB52C0103290D473F64340,-75.184529513,WINTON ST,Philadelphia, PA,39.925409861,0101000020110F0000BF6A9EE257ED5FC1B83C3A3D51855241,24,1100,N/S,39.925409861,-75.184529513
0101000020E6100000906E133A84C852C08074D39B0EFC4340,-75.1330704869999,DAY ST,Philadelphia, PA,39.9691958220001,0101000020110F000075887EC9BFE75FC1DC3935BA868B5241,25,1200,W/S,39.9691958220001,-75.1330704869999
0101000020E6100000F88E58C081CD52C0506434FFE3044440,-75.2110443939999,HENRY AVE,Philadelphia, PA,40.0382079130001,0101000020110F0000917D7ECA39F05FC1EFDBA20652955241,8,3400,W/S,40.0382079130001,-75.2110443939999
0101000020E61000009802485686CA52C0C8ECCC7497F84340,-75.164449282,JUNIPER ST,Philadelphia, PA,39.9421220780001,0101000020110F0000F6AD110E29EB5FC1760B70CBAF875241,24,2600,W/S,39.9421220780001,-75.164449282
0101000020E610000010082F526CC952C0885442FEB9014440,-75.147236391,OLD YORK RD,Philadelphia, PA,40.0134885620001,0101000020110F0000E67ABB054AE95FC1C8AC07A6CF915241,11,4700,E/S,40.0134885620001,-75.147236391
0101000020E610000038E5A1543AC952C048A6847972F84340,-75.144185217,S 08TH ST,Philadelphia, PA,39.94099349,0101000020110F000057BBCD1BF5E85FC141E231D486875241,4,400,W/S,39.94099349,-75.144185217
0101000020E610000094A62E37BDCD52C048B785514AF94340,-75.2146738009999,S FARRAGUT TERR,Philadelphia, PA,39.947580519,0101000020110F0000A86E03CC9EF05FC1EAAEA9EF75885241,2,1000,E/S,39.947580519,-75.2146738009999
0101000020E610000050E2A2A9EACE52C050B10552DCF94340,-75.2330726709999,HAZEL AVE,Philadelphia, PA,39.9520361450001,0101000020110F0000488ECBD59EF25FC155B0ECAF17895241,2,4600,B/S,39.9520361450001,-75.2330726709999
0101000020E6100000686CF3223AC952C02841E03774F84340,-75.144173372,S 09TH ST,Philadelphia, PA,39.9410467000001,0101000020110F00009D206AC7F4E85FC10F26A3C288875241,22,600,B/S,39.9410467000001,-75.144173372
0101000020E6100000C0296B8265CA52C068E0C369E4F94340,-75.1624456449999,CARPENTERST,Philadelphia, PA,39.952283116,0101000020110F00004E3B434BF1EA5FC1111639A720895241,22,1000,B/S,39.952283116,-75.1624456449999
0101000020E610000050DD26533AC952C018CB944674F84340,-75.144184864,N 23RD ST,Philadelphia, PA,39.9410484530001,0101000020110F0000E2E84919F5E85FC1EB3AEDD288875241,17,700,W/S,39.9410484530001,-75.144184864
0101000020E610000024EFAC7513CB52C0E05DB1D0D8F84340,-75.173062724,KATER ST,Philadelphia, PA,39.944116675,0101000020110F0000D46715C418EC5FC1BD535E32F8875241,1,1700,S/S,39.944116675,-75.173062724
0101000020E6100000286F0F8E2ECB52C018F09FCC11F94340,-75.174716487,LOMBARD ST,Philadelphia, PA,39.9458556920001,0101000020110F0000E82B3BCA46EC5FC161CEBE5237885241,5,600,S/S,39.9458556920001,-75.174716487
0101000020E610000050CF94337ACD52C068E6B5BEFA094440,-75.210583587,GERMANTOWN AVE,Philadelphia, PA,40.0779646290001,0101000020110F0000A9B57FF72CF05FC1A9D74197F79A5241,21,8700,W/S,40.0779646290001,-75.210583587
0101000020E610000024C9737DFFCC52C0C05B9C7529FB4340,-75.203093875,GREEN ST,Philadelphia, PA,39.9622027410001,0101000020110F00009E8970875CEF5FC1CA700FCD888A5241,6,1600,B/S,39.9622027410001,-75.203093875
0101000020E61000002CBBBF2BD6CD52C088EEFC8967FB4340,-75.2161969539999,FAIRMOUNT AVE,Philadelphia, PA,39.9640972600001,0101000020110F0000E208A32FC9F05FC1457B2A97CD8A5241,10,300,B/S,39.9640972600001,-75.2161969539999
0101000020E610000038E5A1543AC952C048A6847972F84340,-75.144185217,S 08TH ST,Philadelphia, PA,39.94099349,0101000020110F000057BBCD1BF5E85FC141E231D486875241,22,700,B/S,39.94099349,-75.144185217
0101000020E6100000D82D4680DACA52C040C829DCE0F64340,-75.169586247,CASTLE ST,Philadelphia, PA,39.9287371830001,0101000020110F000061261B04B8EB5FC1647259FDC9855241,27,1400,S/S,39.9287371830001,-75.169586247
0101000020E610000098E5CB6E3AC952C010E87E8172F84340,-75.1441914549999,S 16TH ST,Philadelphia, PA,39.940994441,0101000020110F000017F63E48F5E85FC1352508DD86875241,27,2200,W/S,39.940994441,-75.1441914549999
0101000020E6100000E08787863ECB52C048284F56D5F84340,-75.175691254,BAINBRIDGE ST,Philadelphia, PA,39.944010533,0101000020110F00004549E8EA61EC5FC115E10558F4875241,1,1400,S/S,39.944010533,-75.175691254
0101000020E61000009484B8303AC952C010FF113C74F84340,-75.144176655,S 13TH ST,Philadelphia, PA,39.9410472000001,0101000020110F0000E0DACDDEF4E85FC1C28F48C788875241,23,1500,B/S,39.9410472000001,-75.144176655
0101000020E6100000281EC88E2EC852C0C89062A112FD4340,-75.127841659,E NORRIS,Philadelphia, PA,39.977131055,0101000020110F00002AF2FB442EE75FC1AC6E50E5A68C5241,25,2399,B/S,39.977131055,-75.127841659
0101000020E61000007C7E24945AC952C0B0511340DBF74340,-75.146153484,BECK ST,Philadelphia, PA,39.9363784880001,0101000020110F00009A4D9EE22BE95FC15860BF51DF865241,7,100,S/S,39.9363784880001,-75.146153484
0101000020E61000006C6376C0BCCE52C0B0F135781DFA4340,-75.2302704959999,PINE ST,Philadelphia, PA,39.95402434,0101000020110F00006BC2D8D950F25FC1BD8C0ADE5F895241,1,2000,N/S,39.95402434,-75.2302704959999
0101000020E6100000CCC7434C3AC952C060C6794474F84340,-75.144183222,S 21ST ST,Philadelphia, PA,39.941048202,0101000020110F00004F22970DF5E85FC1162598D088875241,1,400,E/S,39.941048202,-75.144183222
0101000020E6100000ACF8E17B3AC952C0D81B7D8572F84340,-75.144194575,N 20TH ST,Philadelphia, PA,39.9409949170001,0101000020110F00006666795EF5E85FC12C7774E186875241,14,5600,E/S,39.9409949170001,-75.144194575
0101000020E6100000FC9E399A0CCF52C0385CAE6297F94340,-75.235144192,CATHARINE ST,Philadelphia, PA,39.9499324180001,0101000020110F000009D13C7CD8F25FC11EE9A550CB885241,1,1800,B/S,39.9499324180001,-75.235144192
0101000020E6100000D8E31F924ECB52C078915D64A0FA4340,-75.1766705809999,CROSKEY ST,Philadelphia, PA,39.9580197770001,0101000020110F00002032122C7DEC5FC1958EEBECF0895241,17,700,W/S,39.9580197770001,-75.1766705809999
0101000020E610000054C68B27F0CA52C0D0EB2D8A03F64340,-75.1709078659999,S ROSEWOOD ST,Philadelphia, PA,39.921983025,0101000020110F0000EE3EE9CBDCEB5FC144E826E2D4845241,27,2200,E/S,39.921983025,-75.1709078659999
0101000020E61000009C9967F2BBCA52C0903B3854E3FB4340,-75.1677213679999,SHIRLEY ST,Philadelphia, PA,39.9678750300001,0101000020110F000038AADF1D84EB5FC1513818C4568B5241,17,799,W/S,39.9678750300001,-75.1677213679999
0101000020E6100000FCC048743EC952C06881E79275F84340,-75.144436904,S 43RD ST,Philadelphia, PA,39.941088069,0101000020110F00002737EF1CFCE85FC151D10C438A875241,2,300,B/S,39.941088069,-75.144436904
0101000020E6100000ECEAD32C5BCC52C0903DD65422FB4340,-75.1930648869999,HAMILTON ST,Philadelphia, PA,39.9619852110001,0101000020110F00009627716C45EE5FC1073D16E7808A5241,3,3800,B/S,39.9619852110001,-75.1930648869999
0101000020E610000024015A88E8CB52C0B06ECFD511F74340,-75.1860676649999,MOORE ST,Philadelphia, PA,39.930231787,0101000020110F0000D5121AB182ED5FC191354B3B00865241,24,1100,N/S,39.930231787,-75.1860676649999
0101000020E6100000A491C603F2CD52C0180E8E4351FB4340,-75.2178964079999,WALLACE ST,Philadelphia, PA,39.9634174770001,0101000020110F00009AB84E7BF8F05FC1D43454E8B48A5241,6,2300,S/S,39.9634174770001,-75.2178964079999
0101000020E6100000EC4656E6BCCD52C04031D3DF93034440,-75.2146545259999,CLEARVIEW AVE,Philadelphia, PA,40.0279502660001,0101000020110F0000188FB0429EF05FC11C552131DD935241,14,1400,B/S,40.0279502660001,-75.2146545259999
0101000020E61000003809D769C5CB52C06018255F7EF64340,-75.1839241599999,CANTRELL ST,Philadelphia, PA,39.9257315570001,0101000020110F00000E2ED00947ED5FC12EEDD7E95C855241,24,1100,N/S,39.9257315570001,-75.1839241599999
0101000020E6100000686CF3223AC952C02841E03774F84340,-75.144173372,S 09TH ST,Philadelphia, PA,39.9410467000001,0101000020110F00009D206AC7F4E85FC10F26A3C288875241,4,299,E/S,39.9410467000001,-75.144173372
0101000020E610000024340CC910CF52C0989224F673FB4340,-75.235399496,RACE ST,Philadelphia, PA,39.9644763640001,0101000020110F000051322397DFF25FC1C6481B5BDB8A5241,6,2000,N/S,39.9644763640001,-75.235399496
0101000020E61000003C9C0C0340C952C0F0C0161476F84340,-75.144531977,N 63RD ST,Philadelphia, PA,39.941103469,0101000020110F00000DEB46C2FEE85FC15CC226D28A875241,3,99,E/S,39.941103469,-75.144531977
0101000020E61000007C8D9B4F7AC952C0D8CF38CDF5F74340,-75.148090269,QUEEN ST,Philadelphia, PA,39.9371887710001,0101000020110F0000F72824C961E95FC1474DA9BAFC865241,7,LOT,B/S,39.9371887710001,-75.148090269
0101000020E610000048858A07DACA52C0A8C7843F13044440,-75.1695574619999,PENN AVE,Philadelphia, PA,40.0318374060001,0101000020110F0000BF610737B7EB5FC199188F786A945241,17,2600,N/S,40.0318374060001,-75.1695574619999
0101000020E6100000686CF3223AC952C02841E03774F84340,-75.144173372,S 09TH ST,Philadelphia, PA,39.9410467000001,0101000020110F00009D206AC7F4E85FC10F26A3C288875241,22,799,B/S,39.9410467000001,-75.144173372
0101000020E610000018970A2772CC52C0A02B11155B014440,-75.194467316,STANTON ST,Philadelphia, PA,40.0105921110001,0101000020110F00005742F9736CEE5FC13C2E666766915241,8,3600,B/S,40.0105921110001,-75.194467316
0101000020E610000068E5B6613AC952C050B4807D72F84340,-75.144188336,S 12TH ST,Philadelphia, PA,39.9409939650001,0101000020110F0000B7580632F5E85FC141D39BD886875241,24,1800,B/S,39.9409939650001,-75.144188336
